coverage.expected,coverage.failed,coverage.missing,coverage.recorded,coverage.success_rate,coverage.successful,estimated_generation_cost_usd,index,latency.db_query_ms.max_ms,latency.db_query_ms.mean_ms,latency.db_query_ms.n_samples,latency.db_query_ms.p50_ms,latency.db_query_ms.p90_ms,latency.db_query_ms.p95_ms,latency.dense_ms.n_samples,latency.embed_ms.max_ms,latency.embed_ms.mean_ms,latency.embed_ms.n_samples,latency.embed_ms.p50_ms,latency.embed_ms.p90_ms,latency.embed_ms.p95_ms,latency.fusion_ms.n_samples,latency.llm_ms.n_samples,latency.rerank_ms.max_ms,latency.rerank_ms.mean_ms,latency.rerank_ms.n_samples,latency.rerank_ms.p50_ms,latency.rerank_ms.p90_ms,latency.rerank_ms.p95_ms,latency.retrieve_ms.max_ms,latency.retrieve_ms.mean_ms,latency.retrieve_ms.n_samples,latency.retrieve_ms.p50_ms,latency.retrieve_ms.p90_ms,latency.retrieve_ms.p95_ms,latency.sparse_ms.n_samples,latency.total.max_ms,latency.total.mean_ms,latency.total.n_samples,latency.total.p50_ms,latency.total.p90_ms,latency.total.p95_ms,partition,rerank_top_n,reranker,reranker_delta.delta_mrr@1,reranker_delta.delta_mrr@3,reranker_delta.delta_mrr@5,reranker_delta.delta_mrr@7,reranker_delta.delta_ndcg@1,reranker_delta.delta_ndcg@3,reranker_delta.delta_ndcg@5,reranker_delta.delta_ndcg@7,retrieval.hit_rate@1,retrieval.hit_rate@1.article_macro,retrieval.hit_rate@1.ci95_high,retrieval.hit_rate@1.ci95_low,retrieval.hit_rate@1.mean,retrieval.hit_rate@3,retrieval.hit_rate@3.article_macro,retrieval.hit_rate@3.ci95_high,retrieval.hit_rate@3.ci95_low,retrieval.hit_rate@3.mean,retrieval.hit_rate@5,retrieval.hit_rate@5.article_macro,retrieval.hit_rate@5.ci95_high,retrieval.hit_rate@5.ci95_low,retrieval.hit_rate@5.mean,retrieval.hit_rate@7,retrieval.hit_rate@7.article_macro,retrieval.hit_rate@7.ci95_high,retrieval.hit_rate@7.ci95_low,retrieval.hit_rate@7.mean,retrieval.mrr@1,retrieval.mrr@3,retrieval.mrr@3.article_macro,retrieval.mrr@3.ci95_high,retrieval.mrr@3.ci95_low,retrieval.mrr@3.mean,retrieval.mrr@5,retrieval.mrr@5.article_macro,retrieval.mrr@5.ci95_high,retrieval.mrr@5.ci95_low,retrieval.mrr@5.mean,retrieval.mrr@7,retrieval.mrr@7.article_macro,retrieval.mrr@7.ci95_high,retrieval.mrr@7.ci95_low,retrieval.mrr@7.mean,retrieval.n_samples,retrieval.ndcg@1,retrieval.ndcg@3,retrieval.ndcg@3.article_macro,retrieval.ndcg@3.ci95_high,retrieval.ndcg@3.ci95_low,retrieval.ndcg@3.mean,retrieval.ndcg@5,retrieval.ndcg@5.article_macro,retrieval.ndcg@5.ci95_high,retrieval.ndcg@5.ci95_low,retrieval.ndcg@5.mean,retrieval.ndcg@7,retrieval.ndcg@7.article_macro,retrieval.ndcg@7.ci95_high,retrieval.ndcg@7.ci95_low,retrieval.ndcg@7.mean,retrieval.recall@1,retrieval.recall@3,retrieval.recall@5,retrieval.recall@5.article_macro,retrieval.recall@5.ci95_high,retrieval.recall@5.ci95_low,retrieval.recall@5.mean,retrieval.recall@7,retrieval.recall@7.article_macro,retrieval.recall@7.ci95_high,retrieval.recall@7.ci95_low,retrieval.recall@7.mean,retrieval_initial.hit_rate@1,retrieval_initial.hit_rate@10,retrieval_initial.hit_rate@3,retrieval_initial.hit_rate@5,retrieval_initial.hit_rate@7,retrieval_initial.mrr@1,retrieval_initial.mrr@10,retrieval_initial.mrr@3,retrieval_initial.mrr@5,retrieval_initial.mrr@7,retrieval_initial.n_samples,retrieval_initial.ndcg@1,retrieval_initial.ndcg@10,retrieval_initial.ndcg@3,retrieval_initial.ndcg@5,retrieval_initial.ndcg@7,retrieval_initial.recall@1,retrieval_initial.recall@10,retrieval_initial.recall@3,retrieval_initial.recall@5,retrieval_initial.recall@7,retrieval_only,retriever,run_id,top_k,variant
281,0,0,281,1.0,281,,dense_baai_bge_large_en_v1.5,7.3,4.9,281,4.8,5.3,5.5,0,109.8,24.3,281,23.2,28.6,29.9,0,0,0.0,0.0,281,0.0,0.0,0.0,115.0,29.2,281,28.1,33.4,34.6,0,115.0,29.2,281,28.1,33.4,34.6,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1495,0.155532,0.192171,0.106762,0.149466,0.2705,0.264095,0.323843,0.220641,0.270463,0.306,0.30181,0.355872,0.252669,0.30605,0.3345,0.330587,0.3879,0.281139,0.33452,0.1495,0.2046,0.20499,0.247938,0.163092,0.204625,0.2126,0.213385,0.253974,0.172407,0.212632,0.2169,0.217669,0.25767,0.17732,0.21687,281,0.1495,0.218,0.217381,0.263788,0.176899,0.217988,0.2325,0.23272,0.276155,0.191183,0.232536,0.2422,0.242477,0.284969,0.201274,0.242188,0.1459,0.2651,0.3007,0.297381,0.350534,0.247331,0.300712,0.3292,0.326159,0.384342,0.27758,0.329181,0.1495,0.3665,0.2705,0.306,0.3345,0.1495,0.2205,0.2046,0.2126,0.2169,281,0.1495,0.2526,0.218,0.2325,0.2422,0.1459,0.363,0.2651,0.3007,0.3292,True,dense,original-development-dense-noop-53c2b7d325,10,original
281,0,0,281,1.0,281,,dense_baai_bge_large_en_v1.5,7.1,5.0,281,5.0,5.4,5.5,0,96.8,23.8,281,22.4,28.5,30.5,0,0,0.0,0.0,281,0.0,0.0,0.0,102.4,28.8,281,27.4,33.4,35.5,0,102.4,28.8,281,27.4,33.4,35.5,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5338,0.553897,0.590836,0.480338,0.533808,0.7189,0.72596,0.768772,0.66548,0.718861,0.7544,0.754619,0.800712,0.704626,0.754448,0.79,0.789532,0.83274,0.740214,0.790036,0.5338,0.6168,0.631052,0.66846,0.568177,0.616843,0.6252,0.637806,0.674722,0.577329,0.625206,0.6306,0.643197,0.679373,0.583667,0.63063,281,0.5338,0.6378,0.650027,0.68978,0.589727,0.63782,0.6536,0.663066,0.701311,0.606692,0.65362,0.6666,0.675714,0.713118,0.621817,0.666584,0.5267,0.7117,0.7491,0.748857,0.793639,0.699288,0.74911,0.7865,0.785198,0.830961,0.73839,0.786477,0.5338,0.8256,0.7189,0.7544,0.79,0.5338,0.6347,0.6168,0.6252,0.6306,281,0.5338,0.6774,0.6378,0.6536,0.6666,0.5267,0.8221,0.7117,0.7491,0.7865,True,dense,resolved-development-dense-noop-8bda1b0743,10,resolved
281,0,0,281,1.0,281,,dense_baai_bge_small_en_v1.5,16.0,4.5,281,4.3,4.9,5.1,0,112.2,13.5,281,12.7,17.2,18.0,0,0,0.0,0.0,281,0.0,0.0,0.0,117.6,18.0,281,17.0,21.5,22.4,0,117.6,18.0,281,17.0,21.5,22.4,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.155286,0.192171,0.11032,0.153025,0.2705,0.271659,0.316726,0.220641,0.270463,0.2883,0.28823,0.338078,0.234875,0.288256,0.3096,0.302611,0.362989,0.259786,0.309609,0.153,0.2046,0.206017,0.244972,0.161905,0.204625,0.2089,0.20996,0.249829,0.165465,0.208895,0.2122,0.212204,0.252414,0.169265,0.212201,281,0.153,0.2174,0.219424,0.258643,0.173222,0.217396,0.2249,0.226387,0.265558,0.181178,0.224904,0.2323,0.231362,0.272225,0.188718,0.232265,0.1477,0.2651,0.2829,0.283802,0.33274,0.231317,0.282918,0.3043,0.298183,0.355872,0.254448,0.30427,0.153,0.3345,0.2705,0.2883,0.3096,0.153,0.215,0.2046,0.2089,0.2122,281,0.153,0.2405,0.2174,0.2249,0.2323,0.1477,0.331,0.2651,0.2829,0.3043,True,dense,original-development-dense-noop-2db03fb685,10,original
281,0,0,281,1.0,281,,dense_baai_bge_small_en_v1.5,18.4,4.5,281,4.4,4.9,5.4,0,97.9,13.2,281,11.6,17.5,19.7,0,0,0.0,0.0,281,0.0,0.0,0.0,102.4,17.8,281,16.0,22.0,25.8,0,102.4,17.8,281,16.0,22.0,25.8,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5374,0.543548,0.594306,0.480427,0.537367,0.7082,0.708659,0.758007,0.654804,0.708185,0.7651,0.764151,0.811388,0.718861,0.765125,0.7829,0.787706,0.829181,0.736655,0.782918,0.5374,0.6157,0.618649,0.664308,0.565242,0.615657,0.6285,0.631146,0.674303,0.579518,0.628468,0.6311,0.634671,0.67655,0.583229,0.631096,281,0.5374,0.6356,0.638299,0.685766,0.585064,0.635638,0.6589,0.660994,0.705052,0.611363,0.658915,0.6652,0.669172,0.710408,0.619095,0.665214,0.532,0.7028,0.7598,0.759222,0.80427,0.711744,0.759786,0.7776,0.781944,0.823843,0.731317,0.77758,0.5374,0.7936,0.7082,0.7651,0.7829,0.5374,0.6324,0.6157,0.6285,0.6311,281,0.5374,0.6693,0.6356,0.6589,0.6652,0.532,0.79,0.7028,0.7598,0.7776,True,dense,resolved-development-dense-noop-7515740f12,10,resolved
281,0,0,281,1.0,281,,dense_all_minilm_l6_v2,7.9,4.3,281,4.2,4.7,5.1,0,21.9,7.2,281,6.1,10.2,11.1,0,0,0.0,0.0,281,0.0,0.0,0.0,26.6,11.5,281,10.5,14.5,16.3,0,26.6,11.5,281,10.5,14.5,16.3,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1139,0.11977,0.149466,0.074733,0.113879,0.1886,0.190492,0.234875,0.142349,0.188612,0.2456,0.244198,0.291815,0.192171,0.245552,0.2562,0.252421,0.30605,0.206317,0.256228,0.1139,0.1495,0.153492,0.188033,0.109104,0.149466,0.1623,0.165698,0.200799,0.121678,0.162277,0.164,0.167021,0.202226,0.123273,0.163972,281,0.1139,0.156,0.159595,0.193955,0.115011,0.156009,0.1788,0.181059,0.216542,0.137926,0.178753,0.1825,0.183942,0.222558,0.141633,0.182474,0.1103,0.1833,0.2384,0.236437,0.286477,0.188568,0.238434,0.2491,0.244659,0.295418,0.199244,0.24911,0.1139,0.2918,0.1886,0.2456,0.2562,0.1139,0.1679,0.1495,0.1623,0.164,281,0.1139,0.1932,0.156,0.1788,0.1825,0.1103,0.2847,0.1833,0.2384,0.2491,True,dense,original-development-dense-noop-3ab27a6ea7,10,original
281,0,0,281,1.0,281,,dense_all_minilm_l6_v2,7.3,4.3,281,4.2,4.6,4.7,0,22.9,6.9,281,6.3,9.6,10.7,0,0,0.0,0.0,281,0.0,0.0,0.0,28.7,11.2,281,10.6,13.5,14.8,0,28.7,11.2,281,10.6,13.5,14.8,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3879,0.403611,0.44484,0.327402,0.3879,0.5694,0.580016,0.626335,0.508897,0.569395,0.6299,0.642302,0.683274,0.569395,0.629893,0.6726,0.683571,0.72242,0.615569,0.672598,0.3879,0.4715,0.485308,0.522537,0.418133,0.471529,0.4851,0.499284,0.534284,0.432133,0.485052,0.4918,0.50581,0.540998,0.439344,0.491832,281,0.3879,0.4918,0.504356,0.543199,0.438664,0.491816,0.5165,0.529785,0.566288,0.464676,0.51647,0.5314,0.544145,0.579942,0.478758,0.531356,0.3826,0.5623,0.6228,0.63404,0.676157,0.564057,0.622776,0.6655,0.67531,0.715347,0.608496,0.66548,0.3879,0.7153,0.5694,0.6299,0.6726,0.3879,0.4966,0.4715,0.4851,0.4918,281,0.3879,0.5449,0.4918,0.5165,0.5314,0.3826,0.71,0.5623,0.6228,0.6655,True,dense,resolved-development-dense-noop-9401a44f7c,10,resolved
281,0,0,281,1.0,281,,dense_intfloat_e5_base_v2,9.7,4.7,281,4.6,5.1,5.3,0,23.9,11.6,281,10.9,14.3,18.6,0,0,0.0,0.0,281,0.0,0.0,0.0,33.7,16.4,281,15.5,19.1,23.3,0,33.7,16.4,281,15.5,19.1,23.3,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1423,0.141595,0.181584,0.103203,0.142349,0.2456,0.239968,0.291815,0.19573,0.245552,0.306,0.296683,0.355961,0.256228,0.30605,0.3274,0.323571,0.377224,0.274021,0.327402,0.1423,0.1898,0.186735,0.23133,0.150028,0.189798,0.2035,0.199422,0.243062,0.16464,0.203499,0.2068,0.203507,0.246214,0.167724,0.206804,281,0.1423,0.2014,0.197828,0.242486,0.160761,0.201445,0.2263,0.220948,0.267129,0.187332,0.226254,0.2336,0.230144,0.27373,0.193516,0.233616,0.137,0.242,0.3025,0.293254,0.354093,0.252669,0.302491,0.3238,0.320143,0.37371,0.270463,0.323843,0.1423,0.3772,0.2456,0.306,0.3274,0.1423,0.2123,0.1898,0.2035,0.2068,281,0.1423,0.2485,0.2014,0.2263,0.2336,0.137,0.3737,0.242,0.3025,0.3238,True,dense,original-development-dense-noop-182980e299,10,original
281,0,0,281,1.0,281,,dense_intfloat_e5_base_v2,6.5,4.7,281,4.7,5.1,5.3,0,22.8,11.4,281,10.8,13.0,17.5,0,0,0.0,0.0,281,0.0,0.0,0.0,27.9,16.1,281,15.5,18.1,22.1,0,27.9,16.1,281,15.5,18.1,22.1,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267,0.539405,0.58363,0.469751,0.52669,0.7438,0.755071,0.793594,0.693861,0.743772,0.7865,0.802151,0.829181,0.740125,0.786477,0.8149,0.83123,0.85774,0.765125,0.814947,0.5267,0.6216,0.631718,0.671409,0.56997,0.621587,0.6316,0.642638,0.679659,0.583045,0.631551,0.6358,0.646914,0.682373,0.588444,0.635789,281,0.5267,0.6506,0.660566,0.697256,0.601034,0.650582,0.6684,0.680098,0.712192,0.620471,0.668352,0.6787,0.691269,0.722274,0.632625,0.678731,0.5196,0.7402,0.7829,0.797389,0.827447,0.734831,0.782918,0.8132,0.829802,0.857651,0.765125,0.813167,0.5267,0.847,0.7438,0.7865,0.8149,0.5267,0.6396,0.6216,0.6316,0.6358,281,0.5267,0.6886,0.6506,0.6684,0.6787,0.5196,0.8452,0.7402,0.7829,0.8132,True,dense,resolved-development-dense-noop-b9f130965b,10,resolved
281,0,0,281,1.0,281,,sparse_bge_m3_sparse,,,0,,,,0,,,0,,,,0,0,0.0,0.0,281,0.0,0.0,0.0,125.6,72.6,281,72.3,84.0,87.3,0,125.6,72.6,281,72.3,84.0,87.3,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3345,0.33881,0.3879,0.27758,0.33452,0.4626,0.471762,0.519573,0.402135,0.462633,0.5053,0.508611,0.558719,0.448399,0.505338,0.516,0.519468,0.569484,0.459075,0.516014,0.3345,0.3921,0.398345,0.443653,0.339249,0.392051,0.4013,0.406351,0.451671,0.34863,0.401304,0.4029,0.407997,0.45318,0.350613,0.402914,281,0.3345,0.4063,0.413675,0.457504,0.353601,0.406314,0.4243,0.429167,0.474724,0.372511,0.424304,0.4279,0.432877,0.478006,0.376844,0.427944,0.3292,0.4573,0.5018,0.505111,0.55516,0.44484,0.501779,0.5125,0.515968,0.567616,0.455516,0.512456,0.3345,0.5338,0.4626,0.5053,0.516,0.3345,0.4049,0.3921,0.4013,0.4029,281,0.3345,0.4339,0.4063,0.4243,0.4279,0.3292,0.532,0.4573,0.5018,0.5125,True,sparse,original-development-sparse-noop-ab1b6b6e6c,10,original
281,0,0,281,1.0,281,,sparse_bge_m3_sparse,,,0,,,,0,,,0,,,,0,0,0.0,0.0,281,0.0,0.0,0.0,118.8,76.3,281,76.7,87.4,90.7,0,118.8,76.3,281,76.7,87.4,90.7,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726,0.740468,0.775801,0.676157,0.725979,0.8826,0.888437,0.918149,0.843416,0.882562,0.9181,0.918873,0.950178,0.882562,0.918149,0.9253,0.926873,0.953737,0.893238,0.925267,0.726,0.7977,0.807877,0.837484,0.755633,0.797745,0.8059,0.81495,0.843843,0.766058,0.80593,0.8071,0.816284,0.844843,0.767128,0.807116,281,0.726,0.8176,0.826508,0.854991,0.778556,0.81762,0.8317,0.838671,0.866825,0.795234,0.831731,0.835,0.842105,0.868307,0.799956,0.834994,0.7224,0.879,0.9128,0.913111,0.943105,0.877224,0.912811,0.9217,0.92254,0.951957,0.8879,0.921708,0.726,0.9395,0.8826,0.9181,0.9253,0.726,0.8088,0.7977,0.8059,0.8071,281,0.726,0.8401,0.8176,0.8317,0.835,0.7224,0.9377,0.879,0.9128,0.9217,True,sparse,resolved-development-sparse-noop-2d2d5ba248,10,resolved
