coverage.expected,coverage.failed,coverage.missing,coverage.recorded,coverage.success_rate,coverage.successful,estimated_generation_cost_usd,index,latency.db_query_ms.max_ms,latency.db_query_ms.mean_ms,latency.db_query_ms.n_samples,latency.db_query_ms.p50_ms,latency.db_query_ms.p90_ms,latency.db_query_ms.p95_ms,latency.dense_ms.max_ms,latency.dense_ms.mean_ms,latency.dense_ms.n_samples,latency.dense_ms.p50_ms,latency.dense_ms.p90_ms,latency.dense_ms.p95_ms,latency.embed_ms.max_ms,latency.embed_ms.mean_ms,latency.embed_ms.n_samples,latency.embed_ms.p50_ms,latency.embed_ms.p90_ms,latency.embed_ms.p95_ms,latency.fusion_ms.max_ms,latency.fusion_ms.mean_ms,latency.fusion_ms.n_samples,latency.fusion_ms.p50_ms,latency.fusion_ms.p90_ms,latency.fusion_ms.p95_ms,latency.llm_ms.n_samples,latency.rerank_ms.max_ms,latency.rerank_ms.mean_ms,latency.rerank_ms.n_samples,latency.rerank_ms.p50_ms,latency.rerank_ms.p90_ms,latency.rerank_ms.p95_ms,latency.retrieve_ms.max_ms,latency.retrieve_ms.mean_ms,latency.retrieve_ms.n_samples,latency.retrieve_ms.p50_ms,latency.retrieve_ms.p90_ms,latency.retrieve_ms.p95_ms,latency.sparse_ms.max_ms,latency.sparse_ms.mean_ms,latency.sparse_ms.n_samples,latency.sparse_ms.p50_ms,latency.sparse_ms.p90_ms,latency.sparse_ms.p95_ms,latency.total.max_ms,latency.total.mean_ms,latency.total.n_samples,latency.total.p50_ms,latency.total.p90_ms,latency.total.p95_ms,partition,rerank_top_n,reranker,reranker_delta.delta_mrr@1,reranker_delta.delta_mrr@3,reranker_delta.delta_mrr@5,reranker_delta.delta_mrr@7,reranker_delta.delta_ndcg@1,reranker_delta.delta_ndcg@3,reranker_delta.delta_ndcg@5,reranker_delta.delta_ndcg@7,reranker_model,retrieval.hit_rate@1,retrieval.hit_rate@1.article_macro,retrieval.hit_rate@1.ci95_high,retrieval.hit_rate@1.ci95_low,retrieval.hit_rate@1.mean,retrieval.hit_rate@3,retrieval.hit_rate@3.article_macro,retrieval.hit_rate@3.ci95_high,retrieval.hit_rate@3.ci95_low,retrieval.hit_rate@3.mean,retrieval.hit_rate@5,retrieval.hit_rate@5.article_macro,retrieval.hit_rate@5.ci95_high,retrieval.hit_rate@5.ci95_low,retrieval.hit_rate@5.mean,retrieval.hit_rate@7,retrieval.hit_rate@7.article_macro,retrieval.hit_rate@7.ci95_high,retrieval.hit_rate@7.ci95_low,retrieval.hit_rate@7.mean,retrieval.mrr@1,retrieval.mrr@3,retrieval.mrr@3.article_macro,retrieval.mrr@3.ci95_high,retrieval.mrr@3.ci95_low,retrieval.mrr@3.mean,retrieval.mrr@5,retrieval.mrr@5.article_macro,retrieval.mrr@5.ci95_high,retrieval.mrr@5.ci95_low,retrieval.mrr@5.mean,retrieval.mrr@7,retrieval.mrr@7.article_macro,retrieval.mrr@7.ci95_high,retrieval.mrr@7.ci95_low,retrieval.mrr@7.mean,retrieval.n_samples,retrieval.ndcg@1,retrieval.ndcg@3,retrieval.ndcg@3.article_macro,retrieval.ndcg@3.ci95_high,retrieval.ndcg@3.ci95_low,retrieval.ndcg@3.mean,retrieval.ndcg@5,retrieval.ndcg@5.article_macro,retrieval.ndcg@5.ci95_high,retrieval.ndcg@5.ci95_low,retrieval.ndcg@5.mean,retrieval.ndcg@7,retrieval.ndcg@7.article_macro,retrieval.ndcg@7.ci95_high,retrieval.ndcg@7.ci95_low,retrieval.ndcg@7.mean,retrieval.recall@1,retrieval.recall@3,retrieval.recall@5,retrieval.recall@5.article_macro,retrieval.recall@5.ci95_high,retrieval.recall@5.ci95_low,retrieval.recall@5.mean,retrieval.recall@7,retrieval.recall@7.article_macro,retrieval.recall@7.ci95_high,retrieval.recall@7.ci95_low,retrieval.recall@7.mean,retrieval_initial.hit_rate@1,retrieval_initial.hit_rate@10,retrieval_initial.hit_rate@3,retrieval_initial.hit_rate@5,retrieval_initial.hit_rate@7,retrieval_initial.mrr@1,retrieval_initial.mrr@10,retrieval_initial.mrr@3,retrieval_initial.mrr@5,retrieval_initial.mrr@7,retrieval_initial.n_samples,retrieval_initial.ndcg@1,retrieval_initial.ndcg@10,retrieval_initial.ndcg@3,retrieval_initial.ndcg@5,retrieval_initial.ndcg@7,retrieval_initial.recall@1,retrieval_initial.recall@10,retrieval_initial.recall@3,retrieval_initial.recall@5,retrieval_initial.recall@7,retrieval_only,retriever,run_id,top_k,variant
281,0,0,281,1.0,281,,dense_best,57.9,7.7,281,7.3,10.2,11.6,,,0,,,,18.8,11.3,281,11.2,12.1,12.6,,,0,,,,0,598.6,524.6,281,522.6,567.9,587.0,74.6,19.1,281,18.6,21.8,22.7,,,0,,,,618.8,543.7,281,541.8,587.6,608.2,development,7,cross-encoder,0.121,0.1145,0.1111,0.1101,0.121,0.112,0.1069,0.1045,BAAI/bge-reranker-large,0.2633,0.25173,0.313167,0.213523,0.263345,0.3559,0.341103,0.409253,0.298932,0.355872,0.4021,0.392294,0.455516,0.345196,0.402135,0.4164,0.405349,0.47331,0.359431,0.41637,0.2633,0.3043,0.291736,0.351141,0.255026,0.304269,0.3146,0.303274,0.360975,0.265162,0.31459,0.3169,0.305391,0.363475,0.267225,0.316878,281,0.2633,0.3134,0.301013,0.360956,0.263872,0.313397,0.3332,0.322486,0.381364,0.282714,0.333172,0.3382,0.327079,0.385842,0.28808,0.33816,0.258,0.3505,0.3986,0.388865,0.451957,0.341637,0.398577,0.4128,0.401921,0.467972,0.355872,0.412811,0.1423,0.3772,0.2456,0.306,0.3274,0.1423,0.2123,0.1898,0.2035,0.2068,281,0.1423,0.2485,0.2014,0.2263,0.2336,0.137,0.3737,0.242,0.3025,0.3238,True,dense,original-development-dense-cross-encoder-ef7624c755,20,original
281,0,0,281,1.0,281,,dense_best,57.9,7.7,281,7.3,10.2,11.6,,,0,,,,18.8,11.3,281,11.2,12.1,12.6,,,0,,,,0,122.7,96.8,281,97.6,107.1,109.0,74.6,19.1,281,18.6,21.8,22.7,,,0,,,,179.6,115.9,281,116.7,126.1,129.1,development,7,cross-encoder,0.089,0.0937,0.0907,0.0897,0.089,0.0939,0.089,0.0867,cross-encoder/ms-marco-MiniLM-L-6-v2,0.2313,0.220873,0.27758,0.181495,0.231317,0.3452,0.334325,0.398577,0.291815,0.345196,0.3915,0.374992,0.44484,0.338078,0.391459,0.4057,0.390659,0.459164,0.348754,0.405694,0.2313,0.2835,0.273164,0.32918,0.234282,0.28351,0.2942,0.282556,0.338589,0.246083,0.294186,0.2965,0.285088,0.340071,0.248344,0.296475,281,0.2313,0.2953,0.285541,0.341196,0.246225,0.295306,0.3153,0.302852,0.361396,0.267549,0.315296,0.3203,0.308356,0.365999,0.272566,0.320285,0.226,0.3399,0.3879,0.371563,0.439502,0.33452,0.3879,0.4021,0.38723,0.455516,0.346975,0.402135,0.1423,0.3772,0.2456,0.306,0.3274,0.1423,0.2123,0.1898,0.2035,0.2068,281,0.1423,0.2485,0.2014,0.2263,0.2336,0.137,0.3737,0.242,0.3025,0.3238,True,dense,original-development-dense-cross-encoder-f6327dd50f,20,original
281,0,0,281,1.0,281,,dense_best,57.9,7.7,281,7.3,10.2,11.6,,,0,,,,18.8,11.3,281,11.2,12.1,12.6,,,0,,,,0,0.0,0.0,281,0.0,0.0,0.0,74.6,19.1,281,18.6,21.8,22.7,,,0,,,,74.6,19.1,281,18.6,21.8,22.7,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1423,0.141595,0.181584,0.103203,0.142349,0.2456,0.239968,0.291815,0.19573,0.245552,0.306,0.296683,0.355961,0.256228,0.30605,0.3274,0.323571,0.377224,0.274021,0.327402,0.1423,0.1898,0.186735,0.23133,0.150028,0.189798,0.2035,0.199422,0.243062,0.16464,0.203499,0.2068,0.203507,0.246214,0.167724,0.206804,281,0.1423,0.2014,0.197828,0.242486,0.160761,0.201445,0.2263,0.220948,0.267129,0.187332,0.226254,0.2336,0.230144,0.27373,0.193516,0.233616,0.137,0.242,0.3025,0.293254,0.354093,0.252669,0.302491,0.3238,0.320143,0.37371,0.270463,0.323843,0.1423,0.3772,0.2456,0.306,0.3274,0.1423,0.2123,0.1898,0.2035,0.2068,281,0.1423,0.2485,0.2014,0.2263,0.2336,0.137,0.3737,0.242,0.3025,0.3238,True,dense,original-development-dense-noop-1aefdcb8b2,20,original
281,0,0,281,1.0,281,,dense_best,16.3,6.6,281,6.3,8.1,9.5,,,0,,,,18.2,11.5,281,11.4,12.2,12.6,,,0,,,,0,132.1,109.0,281,108.9,120.5,123.1,29.4,18.0,281,17.7,20.0,21.3,,,0,,,,157.4,127.0,281,127.3,137.7,141.5,development,7,cross-encoder,0.1815,0.1524,0.1467,0.1431,0.1815,0.141,0.131,0.1219,cross-encoder/ms-marco-MiniLM-L-6-v2,0.7082,0.711508,0.761566,0.654715,0.708185,0.8541,0.862135,0.893238,0.811388,0.854093,0.8719,0.881881,0.911032,0.829181,0.871886,0.8754,0.885214,0.911032,0.83274,0.875445,0.7082,0.774,0.781265,0.816725,0.727757,0.77402,0.7783,0.786001,0.819823,0.732002,0.77829,0.7789,0.786557,0.820429,0.732017,0.778884,281,0.7082,0.7916,0.799975,0.831805,0.749876,0.791609,0.7994,0.807668,0.838024,0.757523,0.799368,0.8006,0.808855,0.839291,0.759445,0.800635,0.7011,0.8505,0.8683,0.877119,0.905694,0.825623,0.868327,0.8719,0.880452,0.907473,0.829181,0.871886,0.5267,0.847,0.7438,0.7865,0.8149,0.5267,0.6396,0.6216,0.6316,0.6358,281,0.5267,0.6886,0.6506,0.6684,0.6787,0.5196,0.8452,0.7402,0.7829,0.8132,True,dense,resolved-development-dense-cross-encoder-28632b2130,20,resolved
281,0,0,281,1.0,281,,dense_best,16.3,6.6,281,6.3,8.1,9.5,,,0,,,,18.2,11.5,281,11.4,12.2,12.6,,,0,,,,0,599.2,524.1,281,521.8,566.7,578.7,29.4,18.0,281,17.7,20.0,21.3,,,0,,,,616.6,542.1,281,540.5,583.6,596.4,development,7,cross-encoder,0.2135,0.1744,0.1681,0.1655,0.2135,0.1586,0.1489,0.1417,BAAI/bge-reranker-large,0.7402,0.743119,0.786477,0.686833,0.740214,0.8577,0.865437,0.893327,0.811388,0.857651,0.8754,0.883659,0.911032,0.829181,0.875445,0.8861,0.895881,0.921708,0.843416,0.886121,0.7402,0.796,0.801468,0.833926,0.751453,0.795966,0.7997,0.805223,0.838494,0.756383,0.799703,0.8013,0.807023,0.839595,0.757797,0.801313,281,0.7402,0.8092,0.816203,0.846167,0.765658,0.809222,0.8172,0.823879,0.854513,0.773565,0.817202,0.8204,0.827144,0.856525,0.776987,0.820383,0.7331,0.8541,0.8737,0.88223,0.907518,0.829181,0.873665,0.8826,0.891119,0.914635,0.841593,0.882562,0.5267,0.847,0.7438,0.7865,0.8149,0.5267,0.6396,0.6216,0.6316,0.6358,281,0.5267,0.6886,0.6506,0.6684,0.6787,0.5196,0.8452,0.7402,0.7829,0.8132,True,dense,resolved-development-dense-cross-encoder-5f60511c7f,20,resolved
281,0,0,281,1.0,281,,dense_best,16.3,6.6,281,6.3,8.1,9.5,,,0,,,,18.2,11.5,281,11.4,12.2,12.6,,,0,,,,0,0.0,0.0,281,0.0,0.0,0.0,29.4,18.0,281,17.7,20.0,21.3,,,0,,,,29.4,18.0,281,17.7,20.0,21.3,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5267,0.539405,0.58363,0.469751,0.52669,0.7438,0.755071,0.793594,0.693861,0.743772,0.7865,0.802151,0.829181,0.740125,0.786477,0.8149,0.83123,0.85774,0.765125,0.814947,0.5267,0.6216,0.631718,0.671409,0.56997,0.621587,0.6316,0.642638,0.679659,0.583045,0.631551,0.6358,0.646914,0.682373,0.588444,0.635789,281,0.5267,0.6506,0.660566,0.697256,0.601034,0.650582,0.6684,0.680098,0.712192,0.620471,0.668352,0.6787,0.691269,0.722274,0.632625,0.678731,0.5196,0.7402,0.7829,0.797389,0.827447,0.734831,0.782918,0.8132,0.829802,0.857651,0.765125,0.813167,0.5267,0.847,0.7438,0.7865,0.8149,0.5267,0.6396,0.6216,0.6316,0.6358,281,0.5267,0.6886,0.6506,0.6684,0.6787,0.5196,0.8452,0.7402,0.7829,0.8132,True,dense,resolved-development-dense-noop-4b10bbf073,20,resolved
281,0,0,281,1.0,281,,sparse_best,,,0,,,,,,0,,,,,,0,,,,,,0,,,,0,111.8,94.3,281,94.9,100.1,101.4,102.1,61.5,281,61.0,70.5,72.9,,,0,,,,195.6,155.7,281,155.9,167.7,172.5,development,7,cross-encoder,0.0036,0.0119,0.0131,0.0144,0.0036,0.0143,0.0157,0.0183,cross-encoder/ms-marco-MiniLM-L-6-v2,0.3381,0.328571,0.391459,0.284698,0.338078,0.4804,0.477048,0.537367,0.419929,0.480427,0.5267,0.51946,0.580071,0.469751,0.52669,0.5445,0.537016,0.597865,0.491103,0.544484,0.3381,0.4039,0.398115,0.455515,0.353483,0.403914,0.4144,0.407565,0.465014,0.364636,0.414412,0.4173,0.410412,0.466798,0.367073,0.417293,281,0.3381,0.4207,0.416359,0.472166,0.369941,0.420654,0.44,0.433341,0.488982,0.390713,0.439956,0.4462,0.439518,0.495363,0.398318,0.446212,0.3327,0.4769,0.5231,0.515532,0.576557,0.467972,0.523132,0.5409,0.533087,0.594306,0.487544,0.540925,0.3345,0.5338,0.4626,0.5053,0.516,0.3345,0.4049,0.3921,0.4013,0.4029,281,0.3345,0.4339,0.4063,0.4243,0.4279,0.3292,0.532,0.4573,0.5018,0.5125,True,sparse,original-development-sparse-cross-encoder-3a6e8567b4,20,original
281,0,0,281,1.0,281,,sparse_best,,,0,,,,,,0,,,,,,0,,,,,,0,,,,0,635.6,447.5,281,445.3,467.0,477.1,102.1,61.5,281,61.0,70.5,72.9,,,0,,,,700.0,508.9,281,505.7,531.1,545.3,development,7,cross-encoder,0.0747,0.0647,0.0638,0.0633,0.0747,0.0603,0.0581,0.057,BAAI/bge-reranker-large,0.4093,0.399563,0.466192,0.355872,0.409253,0.5089,0.494968,0.562278,0.451868,0.508897,0.5445,0.53327,0.597865,0.487544,0.544484,0.5516,0.54327,0.604982,0.491103,0.551601,0.4093,0.4567,0.445197,0.508926,0.403306,0.456702,0.4651,0.454072,0.514986,0.411719,0.465065,0.4663,0.455739,0.517145,0.412379,0.466251,281,0.4093,0.4666,0.45503,0.516752,0.413624,0.466633,0.4824,0.471442,0.532692,0.428939,0.482432,0.485,0.475004,0.53387,0.430451,0.484968,0.4039,0.5036,0.5409,0.529341,0.594306,0.483941,0.540925,0.548,0.539341,0.599689,0.489279,0.548043,0.3345,0.5338,0.4626,0.5053,0.516,0.3345,0.4049,0.3921,0.4013,0.4029,281,0.3345,0.4339,0.4063,0.4243,0.4279,0.3292,0.532,0.4573,0.5018,0.5125,True,sparse,original-development-sparse-cross-encoder-688004cb92,20,original
281,0,0,281,1.0,281,,sparse_best,,,0,,,,,,0,,,,,,0,,,,,,0,,,,0,0.0,0.0,281,0.0,0.0,0.0,102.1,61.5,281,61.0,70.5,72.9,,,0,,,,102.1,61.5,281,61.0,70.5,72.9,development,7,noop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3345,0.33881,0.3879,0.27758,0.33452,0.4626,0.471762,0.519573,0.402135,0.462633,0.5053,0.508611,0.558719,0.448399,0.505338,0.516,0.519468,0.569484,0.459075,0.516014,0.3345,0.3921,0.398345,0.443653,0.339249,0.392051,0.4013,0.406351,0.451671,0.34863,0.401304,0.4029,0.407997,0.45318,0.350613,0.402914,281,0.3345,0.4063,0.413675,0.457504,0.353601,0.406314,0.4243,0.429167,0.474724,0.372511,0.424304,0.4279,0.432877,0.478006,0.376844,0.427944,0.3292,0.4573,0.5018,0.505111,0.55516,0.44484,0.501779,0.5125,0.515968,0.567616,0.455516,0.512456,0.3345,0.5338,0.4626,0.5053,0.516,0.3345,0.4049,0.3921,0.4013,0.4029,281,0.3345,0.4339,0.4063,0.4243,0.4279,0.3292,0.532,0.4573,0.5018,0.5125,True,sparse,original-development-sparse-noop-54ca61b048,20,original
281,0,0,281,1.0,281,,sparse_best,,,0,,,,,,0,,,,,,0,,,,,,0,,,,0,145.0,98.3,281,98.3,104.0,105.8,97.7,65.3,281,66.1,73.4,77.3,,,0,,,,215.7,163.6,281,163.9,174.4,178.6,development,7,cross-encoder,0.032,0.0344,0.0328,0.0322,0.032,0.0346,0.0325,0.0305,cross-encoder/ms-marco-MiniLM-L-6-v2,0.758,0.751754,0.807829,0.708185,0.758007,0.9217,0.919238,0.950178,0.88968,0.921708,0.9502,0.950175,0.975089,0.921708,0.950178,0.9537,0.952397,0.975089,0.928826,0.953737,0.758,0.8321,0.82931,0.867748,0.795965,0.832146,0.8387,0.836427,0.871894,0.803434,0.838729,0.8393,0.836798,0.872373,0.804441,0.839322,281,0.758,0.8522,0.850361,0.885334,0.819145,0.852191,0.8642,0.862509,0.892864,0.834468,0.864236,0.8655,0.863301,0.893756,0.836439,0.865504,0.7509,0.9181,0.9466,0.945413,0.97153,0.919929,0.946619,0.9502,0.947635,0.97331,0.923488,0.950178,0.726,0.9395,0.8826,0.9181,0.9253,0.726,0.8088,0.7977,0.8059,0.8071,281,0.726,0.8401,0.8176,0.8317,0.835,0.7224,0.9377,0.879,0.9128,0.9217,True,sparse,resolved-development-sparse-cross-encoder-638992df5d,20,resolved
