coverage.expected,coverage.failed,coverage.missing,coverage.recorded,coverage.success_rate,coverage.successful,estimated_generation_cost_usd,index,latency.db_query_ms.n_samples,latency.dense_ms.n_samples,latency.embed_ms.n_samples,latency.fusion_ms.n_samples,latency.llm_ms.n_samples,latency.rerank_ms.max_ms,latency.rerank_ms.mean_ms,latency.rerank_ms.n_samples,latency.rerank_ms.p50_ms,latency.rerank_ms.p90_ms,latency.rerank_ms.p95_ms,latency.retrieve_ms.max_ms,latency.retrieve_ms.mean_ms,latency.retrieve_ms.n_samples,latency.retrieve_ms.p50_ms,latency.retrieve_ms.p90_ms,latency.retrieve_ms.p95_ms,latency.sparse_ms.n_samples,latency.total.max_ms,latency.total.mean_ms,latency.total.n_samples,latency.total.p50_ms,latency.total.p90_ms,latency.total.p95_ms,partition,rerank_top_n,reranker,reranker_delta.delta_mrr@1,reranker_delta.delta_mrr@3,reranker_delta.delta_mrr@5,reranker_delta.delta_ndcg@1,reranker_delta.delta_ndcg@3,reranker_delta.delta_ndcg@5,reranker_model,retrieval.hit_rate@1,retrieval.hit_rate@1.article_macro,retrieval.hit_rate@1.ci95_high,retrieval.hit_rate@1.ci95_low,retrieval.hit_rate@1.mean,retrieval.hit_rate@3,retrieval.hit_rate@5,retrieval.hit_rate@5.article_macro,retrieval.hit_rate@5.ci95_high,retrieval.hit_rate@5.ci95_low,retrieval.hit_rate@5.mean,retrieval.mrr@1,retrieval.mrr@3,retrieval.mrr@5,retrieval.mrr@5.article_macro,retrieval.mrr@5.ci95_high,retrieval.mrr@5.ci95_low,retrieval.mrr@5.mean,retrieval.n_samples,retrieval.ndcg@1,retrieval.ndcg@3,retrieval.ndcg@5,retrieval.ndcg@5.article_macro,retrieval.ndcg@5.ci95_high,retrieval.ndcg@5.ci95_low,retrieval.ndcg@5.mean,retrieval.recall@1,retrieval.recall@3,retrieval.recall@5,retrieval.recall@5.article_macro,retrieval.recall@5.ci95_high,retrieval.recall@5.ci95_low,retrieval.recall@5.mean,retrieval_initial.hit_rate@1,retrieval_initial.hit_rate@10,retrieval_initial.hit_rate@3,retrieval_initial.hit_rate@5,retrieval_initial.mrr@1,retrieval_initial.mrr@10,retrieval_initial.mrr@3,retrieval_initial.mrr@5,retrieval_initial.n_samples,retrieval_initial.ndcg@1,retrieval_initial.ndcg@10,retrieval_initial.ndcg@3,retrieval_initial.ndcg@5,retrieval_initial.recall@1,retrieval_initial.recall@10,retrieval_initial.recall@3,retrieval_initial.recall@5,retrieval_only,retriever,run_id,top_k,variant
281,0,0,281,1.0,281,,chunk_1024_128,0,0,0,0,0,478.1,454.1,281,453.8,466.3,470.6,88.9,56.5,281,56.7,62.0,63.6,0,549.0,510.6,281,510.0,525.5,529.8,development,5,cross-encoder,0.0819,0.0718,0.0702,0.0819,0.0671,0.0642,BAAI/bge-reranker-large,0.4199,0.404341,0.476868,0.366548,0.419929,0.5053,0.548,0.53919,0.601423,0.487544,0.548043,0.4199,0.4603,0.47,0.454978,0.521831,0.418027,0.470047,281,0.4199,0.4706,0.4882,0.474811,0.538586,0.435564,0.488187,0.4181,0.5036,0.5463,0.537762,0.599644,0.4875,0.546263,0.3381,0.5445,0.452,0.5018,0.3381,0.405,0.3885,0.3999,281,0.3381,0.4378,0.4034,0.4239,0.3363,0.5445,0.4502,0.5,True,sparse,original-development-sparse-cross-encoder-2808bd18a8,20,original
281,0,0,281,1.0,281,,chunk_1024_128,0,0,0,0,0,151.6,131.2,281,131.2,136.7,139.8,88.9,56.5,281,56.7,62.0,63.6,0,228.1,187.6,281,187.6,196.0,199.3,development,5,cross-encoder,0.0498,0.048,0.0429,0.0498,0.0476,0.0394,cross-encoder/ms-marco-MiniLM-L-6-v2,0.3879,0.387452,0.44484,0.33452,0.3879,0.4982,0.5267,0.518714,0.580071,0.469751,0.52669,0.3879,0.4365,0.4428,0.438858,0.496227,0.391921,0.442763,281,0.3879,0.451,0.4633,0.458461,0.515568,0.412505,0.463327,0.3861,0.4964,0.5267,0.518714,0.580071,0.469751,0.52669,0.3381,0.5445,0.452,0.5018,0.3381,0.405,0.3885,0.3999,281,0.3381,0.4378,0.4034,0.4239,0.3363,0.5445,0.4502,0.5,True,sparse,original-development-sparse-cross-encoder-d3f47fae88,20,original
281,0,0,281,1.0,281,,chunk_1024_128,0,0,0,0,0,149.7,131.9,281,131.9,138.6,140.2,85.1,57.2,281,57.5,62.3,64.3,0,220.7,189.1,281,189.1,199.1,201.5,development,5,cross-encoder,0.0142,0.0184,0.0196,0.0142,0.0203,0.0222,cross-encoder/ms-marco-MiniLM-L-6-v2,0.7687,0.772698,0.815036,0.718861,0.768683,0.9004,0.9217,0.922651,0.953737,0.88968,0.921708,0.7687,0.8286,0.8337,0.836339,0.869224,0.796971,0.833747,281,0.7687,0.8471,0.8561,0.858294,0.889559,0.822243,0.856138,0.7669,0.9004,0.9217,0.922651,0.953737,0.88968,0.921708,0.7544,0.9253,0.8754,0.8932,0.7544,0.8182,0.8102,0.8141,281,0.7544,0.8441,0.8268,0.834,0.7527,0.9253,0.8754,0.8932,True,sparse,resolved-development-sparse-cross-encoder-4cf58f7994,20,resolved
281,0,0,281,1.0,281,,chunk_1024_128,0,0,0,0,0,487.4,454.4,281,454.3,465.4,468.6,85.1,57.2,281,57.5,62.3,64.3,0,547.1,511.6,281,512.2,525.1,530.0,development,5,cross-encoder,0.0819,0.0611,0.0606,0.0819,0.0534,0.0522,BAAI/bge-reranker-large,0.8363,0.833683,0.879004,0.790036,0.836299,0.911,0.9253,0.924317,0.953737,0.893238,0.925267,0.8363,0.8713,0.8747,0.87224,0.908481,0.839822,0.874673,281,0.8363,0.8802,0.8862,0.884369,0.917211,0.85285,0.886183,0.8345,0.9093,0.9235,0.922889,0.953737,0.891459,0.923488,0.7544,0.9253,0.8754,0.8932,0.7544,0.8182,0.8102,0.8141,281,0.7544,0.8441,0.8268,0.834,0.7527,0.9253,0.8754,0.8932,True,sparse,resolved-development-sparse-cross-encoder-f78cf888f6,20,resolved
281,0,0,281,1.0,281,,chunk_256_32,0,0,0,0,0,88.5,55.0,281,55.0,58.2,59.4,133.2,84.0,281,85.7,105.1,109.8,0,194.8,139.0,281,139.6,162.8,167.4,development,5,cross-encoder,0.0427,0.0403,0.0402,0.0427,0.0402,0.041,cross-encoder/ms-marco-MiniLM-L-6-v2,0.3452,0.328302,0.402135,0.291815,0.345196,0.4662,0.516,0.502611,0.569395,0.455516,0.516014,0.3452,0.3992,0.4104,0.396293,0.465362,0.360022,0.410378,281,0.3452,0.4143,0.4357,0.422179,0.491252,0.384984,0.43565,0.3434,0.4626,0.5142,0.501183,0.569395,0.455516,0.514235,0.3025,0.5231,0.427,0.4769,0.3025,0.3766,0.3588,0.3702,281,0.3025,0.4106,0.3742,0.3947,0.3007,0.5214,0.4235,0.4733,True,sparse,original-development-sparse-cross-encoder-9c7c5130f4,20,original
281,0,0,281,1.0,281,,chunk_256_32,0,0,0,0,0,252.2,227.5,281,228.1,235.1,236.8,133.2,84.0,281,85.7,105.1,109.8,0,358.9,311.5,281,312.8,334.9,340.0,development,5,cross-encoder,0.0427,0.0469,0.0437,0.0427,0.0491,0.0433,BAAI/bge-reranker-large,0.3452,0.337881,0.398577,0.288256,0.345196,0.4804,0.516,0.502278,0.569395,0.459075,0.516014,0.3452,0.4057,0.4139,0.40393,0.466554,0.360437,0.413878,281,0.3452,0.4233,0.438,0.426583,0.489147,0.386027,0.437964,0.3416,0.4786,0.5142,0.499778,0.569395,0.455516,0.514235,0.3025,0.5231,0.427,0.4769,0.3025,0.3766,0.3588,0.3702,281,0.3025,0.4106,0.3742,0.3947,0.3007,0.5214,0.4235,0.4733,True,sparse,original-development-sparse-cross-encoder-ae7c39be43,20,original
281,0,0,281,1.0,281,,chunk_256_32,0,0,0,0,0,299.8,232.9,281,232.0,242.2,247.9,130.2,89.4,281,91.1,108.3,113.4,0,396.3,322.4,281,322.6,347.4,356.7,development,5,cross-encoder,0.1032,0.0925,0.0884,0.1032,0.0913,0.0826,BAAI/bge-reranker-large,0.7438,0.735492,0.793594,0.693861,0.743772,0.9004,0.9395,0.940825,0.967972,0.911032,0.939502,0.7438,0.8132,0.8224,0.81718,0.858006,0.785289,0.822418,281,0.7438,0.8349,0.8507,0.846702,0.883011,0.818904,0.850685,0.7402,0.8986,0.9359,0.936325,0.962678,0.905694,0.935943,0.6406,0.9217,0.8149,0.8754,0.6406,0.7407,0.7206,0.734,281,0.6406,0.7832,0.7436,0.7681,0.637,0.9181,0.8132,0.8737,True,sparse,resolved-development-sparse-cross-encoder-3ac11ac650,20,resolved
281,0,0,281,1.0,281,,chunk_256_32,0,0,0,0,0,79.3,56.5,281,56.2,59.3,60.1,130.2,89.4,281,91.1,108.3,113.4,0,187.5,145.9,281,148.2,166.3,170.3,development,5,cross-encoder,0.1032,0.089,0.0874,0.1032,0.083,0.0793,cross-encoder/ms-marco-MiniLM-L-6-v2,0.7438,0.730881,0.793683,0.69395,0.743772,0.8897,0.9395,0.934492,0.964413,0.911032,0.939502,0.7438,0.8096,0.8214,0.812466,0.859966,0.785759,0.821351,281,0.7438,0.8266,0.8474,0.839353,0.880649,0.816535,0.847448,0.7384,0.8843,0.9342,0.928563,0.960854,0.905694,0.934164,0.6406,0.9217,0.8149,0.8754,0.6406,0.7407,0.7206,0.734,281,0.6406,0.7832,0.7436,0.7681,0.637,0.9181,0.8132,0.8737,True,sparse,resolved-development-sparse-cross-encoder-9c7d49be0d,20,resolved
281,0,0,281,1.0,281,,chunk_512_64,0,0,0,0,0,127.2,116.8,281,116.8,120.8,122.0,102.9,66.9,281,67.4,76.3,78.0,0,223.1,183.7,281,183.7,193.7,197.5,development,5,cross-encoder,0.0036,0.0119,0.0131,0.0036,0.0143,0.0157,cross-encoder/ms-marco-MiniLM-L-6-v2,0.3381,0.328571,0.391459,0.284698,0.338078,0.4804,0.5267,0.51946,0.580071,0.469751,0.52669,0.3381,0.4039,0.4144,0.407565,0.465014,0.364636,0.414412,281,0.3381,0.4207,0.44,0.433341,0.488982,0.390713,0.439956,0.3327,0.4769,0.5231,0.515532,0.576557,0.467972,0.523132,0.3345,0.5338,0.4626,0.5053,0.3345,0.4049,0.3921,0.4013,281,0.3345,0.4339,0.4063,0.4243,0.3292,0.532,0.4573,0.5018,True,sparse,original-development-sparse-cross-encoder-328ea943f6,20,original
281,0,0,281,1.0,281,,chunk_512_64,0,0,0,0,0,458.4,440.0,281,440.3,453.0,455.1,102.9,66.9,281,67.4,76.3,78.0,0,549.5,506.9,281,506.4,523.1,527.5,development,5,cross-encoder,0.0747,0.0647,0.0638,0.0747,0.0603,0.0581,BAAI/bge-reranker-large,0.4093,0.399563,0.466192,0.355872,0.409253,0.5089,0.5445,0.53327,0.597865,0.487544,0.544484,0.4093,0.4567,0.4651,0.454072,0.514986,0.411719,0.465065,281,0.4093,0.4666,0.4824,0.471442,0.532692,0.428939,0.482432,0.4039,0.5036,0.5409,0.529341,0.594306,0.483941,0.540925,0.3345,0.5338,0.4626,0.5053,0.3345,0.4049,0.3921,0.4013,281,0.3345,0.4339,0.4063,0.4243,0.3292,0.532,0.4573,0.5018,True,sparse,original-development-sparse-cross-encoder-f439327b55,20,original
